Hours,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
7.115645544,0.909163055,0.912817311,0.904248502,0.882117199,0.895177422,0.901149489,0.902555395,0.889266491,0.911109298,0.911194738,0.909416581,0.90691787,0.971820098,0.91089315,0.918487595,0.905502811,0.918267511,0.914948551,0.906705822,0.91195913,0.950639532,0.899132519,0.897720282,0.978066622,0.923350815,0.920780598,0.898663305,0.923022746,0.897397482,0.907549865,0.907005517,0.912651411,0.923895089,0.921611935,0.923256761,0.915743627,0.915604197,0.90467983,0.913686319,0.907804188,0.926376255,0.908128946,0.913738939,0.9078699,0.911697533,0.904955548,0.895286283,0.901599772,0.916417577,0.904976664,0.897415813,0.902364436,0.889948253,0.918025967,0.904189596,0.909267781,0.894794903,0.892013118,0.910210184,0.908892161,0.910433303,0.973259801,0.919224294,0.910681949,0.892255299,0.905371735,0.906469295,0.900375749,0.956188489,0.894312368,0.936780648,0.892320698,0.91179759,0.899583434,0.908686162,0.918816541,0.903668425,0.901179396,0.910903041,0.909771334,0.89635774,0.890409892,0.904608866,0.911742393,0.897481623,0.9036372,0.911624541,0.908585642,0.910883845,0.901405302,0.900891336,0.879315764,0.91153699,0.926714649,0.89996855,0.919893971
7.616487983,0.90164536,0.906186911,0.896983189,0.87128701,0.887490826,0.893207911,0.894001639,0.881331293,0.903756083,0.904371059,0.901608197,0.899971579,0.971521627,0.902970637,0.912112329,0.898287558,0.910888445,0.908656794,0.898625056,0.905323096,0.946828415,0.889934507,0.889270495,0.977217709,0.916092988,0.912161195,0.890217715,0.916831193,0.887677406,0.903060513,0.900528365,0.902332396,0.917888957,0.914998834,0.918200279,0.909781557,0.907670989,0.896750982,0.906624034,0.900564597,0.920648931,0.901309756,0.905134353,0.898967799,0.904476691,0.897779169,0.885974288,0.893648703,0.910526878,0.89790459,0.888245583,0.894648426,0.879475908,0.909819801,0.897380644,0.903002749,0.885451726,0.884517205,0.903726804,0.901514672,0.90489488,0.972545698,0.911894112,0.901257342,0.884101729,0.8989616,0.897678314,0.891089628,0.953206783,0.885540869,0.931342697,0.883005309,0.904994783,0.891287582,0.900872094,0.910757076,0.89606519,0.893750614,0.903730803,0.903156766,0.887949852,0.883980061,0.89762661,0.905811669,0.887557437,0.895963383,0.907220996,0.901506478,0.904664933,0.892847898,0.893982022,0.870864433,0.903311261,0.921136696,0.891150226,0.914141425
8.117496942,0.893500144,0.895559194,0.887872841,0.862618759,0.87943622,0.884311013,0.884800058,0.873153696,0.896901887,0.895915172,0.89172249,0.890899494,0.969101108,0.896414049,0.905357861,0.889901724,0.903403522,0.902094158,0.891548778,0.897974256,0.944600499,0.881517329,0.88097284,0.977292835,0.909524387,0.905667218,0.881858988,0.907893329,0.878708653,0.894905276,0.893397767,0.89555807,0.912534633,0.908648281,0.912807231,0.903669152,0.899943533,0.890297416,0.896886035,0.891801815,0.914946086,0.895333695,0.899059072,0.89148259,0.897515252,0.88921922,0.878312482,0.885201733,0.903801865,0.8910492,0.87958444,0.886421484,0.872104795,0.903896302,0.889771362,0.895116242,0.878353134,0.875472889,0.894254243,0.894383107,0.897306757,0.970969322,0.903957702,0.894479733,0.875307001,0.891439941,0.890712372,0.884073978,0.949995083,0.877910025,0.926876287,0.876376702,0.897275146,0.885124409,0.894958074,0.905261064,0.88695585,0.885802159,0.895562163,0.895606639,0.879459623,0.875201177,0.888996485,0.901217823,0.878303658,0.889090935,0.900672554,0.895407044,0.896864732,0.883994699,0.885190733,0.863321184,0.893170752,0.91602765,0.883251948,0.90908458
8.618019263,0.885234521,0.888801075,0.879241527,0.85426383,0.870498742,0.874683767,0.875982468,0.864026179,0.888349885,0.888694029,0.883746773,0.884398017,0.967573038,0.888403171,0.898959589,0.881569323,0.896969012,0.894228609,0.884293275,0.891023563,0.941149455,0.871071213,0.869629282,0.975808281,0.900712073,0.89777804,0.8719608,0.900492316,0.869749867,0.887661343,0.884738678,0.887894685,0.906164684,0.899841354,0.906946922,0.89565185,0.892109667,0.881575175,0.889560902,0.883401061,0.909298074,0.887526905,0.890468041,0.883763834,0.889119623,0.88006047,0.870068361,0.87661937,0.896650429,0.884992508,0.873071489,0.877902511,0.86418991,0.897563036,0.882391058,0.887931104,0.871016664,0.867416595,0.887271996,0.88818678,0.890133513,0.970298517,0.896711368,0.88732127,0.866494303,0.883873824,0.882738012,0.875053161,0.948000449,0.868625682,0.922673112,0.869348029,0.888890649,0.877371759,0.887679471,0.899342598,0.878704493,0.878407562,0.887391581,0.889790656,0.8717976,0.867497171,0.881806707,0.895148264,0.86873631,0.87967017,0.895378767,0.889208307,0.890963166,0.877459051,0.877969682,0.854797358,0.886085324,0.910432616,0.873089753,0.903186329
9.118502912,0.878163152,0.882467146,0.871979875,0.844123648,0.861927685,0.865778792,0.867109991,0.853114315,0.881102834,0.881868768,0.87444351,0.875803338,0.96665731,0.881255821,0.892366166,0.874063887,0.890250754,0.885714618,0.877489654,0.883728753,0.939330253,0.861273557,0.860242262,0.975100058,0.893383497,0.890769701,0.862648476,0.891448558,0.860762124,0.880606409,0.877454538,0.879866493,0.897632015,0.892490712,0.900572492,0.88794889,0.884766381,0.875254408,0.880649917,0.875742214,0.902308431,0.880380994,0.885628653,0.877008166,0.882230228,0.871600682,0.860289083,0.870103904,0.889847777,0.878751014,0.864672371,0.870538096,0.85695781,0.892507857,0.875649073,0.882157528,0.863583375,0.857805835,0.879815334,0.882144862,0.883051654,0.968603875,0.887990933,0.879765212,0.85838478,0.87756712,0.874894882,0.868540235,0.943822487,0.858389229,0.919172021,0.861324542,0.880520548,0.868716797,0.881373078,0.892048388,0.870395484,0.872096237,0.881782589,0.882383684,0.863395463,0.860625491,0.873970228,0.888971462,0.857874843,0.871979562,0.890580671,0.883835775,0.884238298,0.868963432,0.868838315,0.846370721,0.877530429,0.906069451,0.86363029,0.899118206
9.61930942,0.868677317,0.873807146,0.86376845,0.83293958,0.853169539,0.855787109,0.857569385,0.845439109,0.873677535,0.874419832,0.866573584,0.868601527,0.964204935,0.873284272,0.884816588,0.864591093,0.883632141,0.879152297,0.869822397,0.877010696,0.935390336,0.849750547,0.851456632,0.975112162,0.886764221,0.883569263,0.852595338,0.884166693,0.852469681,0.872486616,0.870211925,0.872033579,0.891535785,0.885966248,0.896717568,0.881027465,0.876454089,0.866651039,0.871400226,0.865729014,0.895346796,0.873997685,0.878374268,0.86957484,0.875713133,0.862913167,0.853276819,0.860695352,0.881401321,0.871026546,0.857024194,0.862300193,0.847974594,0.886093282,0.869406094,0.876516144,0.854951657,0.850450475,0.872508774,0.876081655,0.8744191,0.970125729,0.880277918,0.87280902,0.849838085,0.870994026,0.867440577,0.862238314,0.941692675,0.851206755,0.913210504,0.854695036,0.873498268,0.86183293,0.874679038,0.88467971,0.862636094,0.864245084,0.874707364,0.876791396,0.854011865,0.853425963,0.866288426,0.882511605,0.848492845,0.866401947,0.885342777,0.877525555,0.878317764,0.861541411,0.861837529,0.838168839,0.869387884,0.900747306,0.856733932,0.893990525
10.12031189,0.860345556,0.867550558,0.857804114,0.825276626,0.845553054,0.848686503,0.848184203,0.838266878,0.866972091,0.868977059,0.858277827,0.862898286,0.966742997,0.8665,0.879083965,0.857632384,0.875967419,0.872494237,0.864053201,0.869576401,0.933403768,0.841847796,0.843196631,0.97515559,0.880707802,0.877285188,0.845295399,0.877919785,0.844953385,0.865970678,0.862979884,0.864364589,0.885469334,0.877121694,0.891046738,0.875443418,0.869747655,0.860759737,0.865043912,0.857907669,0.891233931,0.86739334,0.871526173,0.86228776,0.869334524,0.855493539,0.844571963,0.853630016,0.874489705,0.86505387,0.847928373,0.853982856,0.839649207,0.880116692,0.858788148,0.869950873,0.84840237,0.841447414,0.864081832,0.869444673,0.866484139,0.969045785,0.873506882,0.864033019,0.841382058,0.862484532,0.858978903,0.854567549,0.938751887,0.841273222,0.907658753,0.845066221,0.865677112,0.853321594,0.866307373,0.877182406,0.853008395,0.856598962,0.867232297,0.867311815,0.846417735,0.844337396,0.857521831,0.87635257,0.838923099,0.85875685,0.878532207,0.868819573,0.871527648,0.853017063,0.854133039,0.82918334,0.860427643,0.894415926,0.847852948,0.888091574
10.62143649,0.850985546,0.858766683,0.846839943,0.815526464,0.836300398,0.838837262,0.836795394,0.829321498,0.858458615,0.861257983,0.848751792,0.854768771,0.961975584,0.857726234,0.871670787,0.849621929,0.868716981,0.864105009,0.854242457,0.862200447,0.93072527,0.831362754,0.833373538,0.97358942,0.872810358,0.869398889,0.834964264,0.86916647,0.835532172,0.857737362,0.853759666,0.856672131,0.877654167,0.867782834,0.883347403,0.86719258,0.861687917,0.851312071,0.85417342,0.847852752,0.883799415,0.85904687,0.86162221,0.853113691,0.860584661,0.84558505,0.836110492,0.844784757,0.866900635,0.85709093,0.841999027,0.845569338,0.83118209,0.87223005,0.852857968,0.863136408,0.839837075,0.832969901,0.854822488,0.861580013,0.859713711,0.967406015,0.864864205,0.855595767,0.831897454,0.856940111,0.850902551,0.846004462,0.93622925,0.832271201,0.903337264,0.838293015,0.856001491,0.84505429,0.859610282,0.868416121,0.843028066,0.849412838,0.859458532,0.860860076,0.837043502,0.835413236,0.849164388,0.869495618,0.827736368,0.850781717,0.872212352,0.861591559,0.864402029,0.842204635,0.8466108,0.819554954,0.852237502,0.888197875,0.838785514,0.881929669
11.12219665,0.843110982,0.849826336,0.839382176,0.80458958,0.826963491,0.828740398,0.82976155,0.819108872,0.85118671,0.853556327,0.838481212,0.846651716,0.9612737,0.849432497,0.864186794,0.840382033,0.861826429,0.85609023,0.847111586,0.854758028,0.925849171,0.821402225,0.821762831,0.97125501,0.866017326,0.860949783,0.825092127,0.859445258,0.825115161,0.850399557,0.846821519,0.847513621,0.869859281,0.859707325,0.877429783,0.860547287,0.852868102,0.841786645,0.844604875,0.837977509,0.876227452,0.852776805,0.855584221,0.846630348,0.852401894,0.835777062,0.826399377,0.837037424,0.861222095,0.848732384,0.832448314,0.835500443,0.822439389,0.865233543,0.843887627,0.856127401,0.829159154,0.823953352,0.844953074,0.855345654,0.850989671,0.967085034,0.856826071,0.846526954,0.82342818,0.848171039,0.841596838,0.838631976,0.933180463,0.822727492,0.89810352,0.829470208,0.847261571,0.837332574,0.852727003,0.861966425,0.833978155,0.840511882,0.851698971,0.85217528,0.828096731,0.826721928,0.841220695,0.862689254,0.817385002,0.843032049,0.865401531,0.854847538,0.857465724,0.83369252,0.838519536,0.811997887,0.843426878,0.882884955,0.830706047,0.874947244
11.63710985,0.834578904,0.840754295,0.830850146,0.795051525,0.81806507,0.81909221,0.819470854,0.809792032,0.841445467,0.846058846,0.830680461,0.838860987,0.960515409,0.842776056,0.858303818,0.832285548,0.853902633,0.848146769,0.838263244,0.847722726,0.92423253,0.81147507,0.814379345,0.971759859,0.857943663,0.853620849,0.815395246,0.850900673,0.816884705,0.842563584,0.838384834,0.838433911,0.863055514,0.851284481,0.870791826,0.851957112,0.845146275,0.834367563,0.837215765,0.829941994,0.870712673,0.844404061,0.847363925,0.837406092,0.843071934,0.825123615,0.817075439,0.828890956,0.853750963,0.842580389,0.823678399,0.826325048,0.812775224,0.856882827,0.835937819,0.848923228,0.821741187,0.815932589,0.83780535,0.847523237,0.843325461,0.965589235,0.847490891,0.838192277,0.814738065,0.840605576,0.832922755,0.83008887,0.929012163,0.813138841,0.891634196,0.821629943,0.838799964,0.828953425,0.844762458,0.854003088,0.823852701,0.832768855,0.843818329,0.845890801,0.820646847,0.817755862,0.832361001,0.856321285,0.805590457,0.834361408,0.858355942,0.847515256,0.851090206,0.826075916,0.829020758,0.802997425,0.832550028,0.87736855,0.821287194,0.869110169
